Name,Email,QR Code URL
Jimmy Conway,jimmy.conway@goodfellas.com,http://localhost:5000/qrcodes/73ebe7f1-cac2-4ff6-93e6-7b085a85cb42.png
Tommy DeVito,tommy.devito@goodfellas.com,http://localhost:5000/qrcodes/3a74b558-1c03-4c03-94ac-1f85ae3ba592.png
Tyler Durden,tyler.durden@fightclub.com,http://localhost:5000/qrcodes/e8a6cffa-0471-456f-86b5-0ef67f9537ec.png
Marla Singer,marla.singer@fightclub.com,http://localhost:5000/qrcodes/004dc8fc-d148-4cbd-8f16-9a4ea19918d7.png
K Officer,k.officer@bladerunner.com,http://localhost:5000/qrcodes/b8272b9f-72de-4f9a-af43-c446e5ca23dd.png
Deckard,rick.deckard@bladerunner.com,http://localhost:5000/qrcodes/cbd0edab-36f5-4caf-b811-084209ca853c.png
Captain Miller,miller.captain@savingryan.com,http://localhost:5000/qrcodes/1600112f-5184-453b-96bc-ff463ecc7fb4.png
Private Ryan,ryan.private@savingryan.com,http://localhost:5000/qrcodes/8e745c76-cd5a-416d-97a6-9c9405a19d47.png
Wardaddy,wardaddy@fury.com,http://localhost:5000/qrcodes/a7641bd4-1912-4a48-a8f8-d83c03edb215.png
Norman Ellison,norman.ellison@fury.com,http://localhost:5000/qrcodes/16d700bd-289f-434a-97ba-4f11db327511.png
Jordan Belfort,jordan.belfort@wolfstreet.com,http://localhost:5000/qrcodes/ab14ba32-3026-471d-b52b-960d5c3f658e.png
Donnie Azoff,donnie.azoff@wolfstreet.com,http://localhost:5000/qrcodes/071e6ab7-88a8-4ee3-9ea1-dde6530d6f5b.png
Walter White,walter.white@breakingbad.com,http://localhost:5000/qrcodes/6e159c7b-2c83-4be7-8662-8fb35fb2f4a8.png
Jesse Pinkman,jesse.pinkman@breakingbad.com,http://localhost:5000/qrcodes/259361a2-d438-4fba-a26e-7f940b5711b4.png
Saul Goodman,saul.goodman@bettercallsaul.com,http://localhost:5000/qrcodes/875c5fae-26e5-4981-bc9e-0c9088f88df3.png
Mike Ehrmantraut,mike.ehrmantraut@bettercallsaul.com,http://localhost:5000/qrcodes/14061d5a-42c8-4cd9-9d0b-38284c5d7d36.png
Tommy Shelby,tommy.shelby@peakyblinders.com,http://localhost:5000/qrcodes/e035bd5b-7e83-49b5-ad64-a9a68195ca85.png
Arthur Shelby,arthur.shelby@peakyblinders.com,http://localhost:5000/qrcodes/42fcfaae-ea7e-4ddf-8803-1e69ae223401.png
Pete Mitchell,maverick@topgun.com,http://localhost:5000/qrcodes/7e5b0a77-bce9-44e6-a4e3-73eaf0f56d10.png
Bradley Bradshaw,rooster@topgun.com,http://localhost:5000/qrcodes/b823db8f-14e8-4da7-8e13-6bc5ee1b40e8.png
